time_s,n_slots,heard,collided
0.165,20,0,0
0.322,19,0,0
0.471,18,0,0
0.612,17,0,0
0.745,16,0,0
0.87,15,1,0
0.987,14,0,0
1.096,13,1,0
1.197,12,0,0
1.29,11,2,0
1.375,10,1,0
1.452,9,3,0
1.521,8,5,0
1.582,7,6,0
1.643,7,5,0
1.704,7,5,0
1.773,8,3,5
1.85,9,5,0
1.935,10,2,0
2.012,9,2,0
2.081,8,3,0
2.15,8,1,3
2.219,8,3,0
2.288,8,2,0
2.349,7,3,0
2.41,7,2,0
2.471,7,6,0
2.532,7,4,2
2.601,8,6,0
2.678,9,4,0
2.755,9,2,0
2.832,9,4,3
2.909,9,3,0
2.986,9,3,2
3.063,9,3,0
3.14,9,1,0
3.209,8,3,0
3.27,7,4,0
3.331,7,6,0
3.4,8,3,0
3.469,8,4,0
3.538,8,6,0
3.615,9,3,0
3.692,9,3,0
3.769,9,3,0
3.838,8,3,0
3.907,8,5,0
3.976,8,4,0
4.045,8,3,0
4.114,8,6,0
4.183,8,5,0
4.26,9,2,0
4.337,9,4,0
4.414,9,5,0
4.491,9,2,0
4.56,8,2,2
4.629,8,1,0
4.69,7,4,0
4.751,7,8,0
4.82,8,2,0
4.889,8,2,0
4.958,8,3,0
5.027,8,5,0
5.096,8,0,2
5.165,8,1,0
5.226,7,4,0
5.287,7,3,0
5.348,7,3,0
5.409,7,2,3
5.47,7,4,0
5.531,7,3,3
5.6,8,5,0
5.677,9,6,0
5.762,10,3,0
5.847,10,1,0
5.924,9,5,0
6.001,9,4,0
6.078,9,3,0
6.147,8,4,0
6.216,8,6,0
6.293,9,4,0
6.37,9,2,3
6.447,9,7,0
6.532,10,7,0
6.625,11,3,0
6.718,11,6,0
6.811,11,5,0
6.904,11,2,0
6.989,10,4,0
7.074,10,4,0
7.151,9,6,0
7.228,9,3,2
7.305,9,5,0
7.39,10,3,0
7.475,10,7,0
7.56,10,2,0
7.645,10,3,0
7.722,9,4,0
7.799,9,4,0
7.876,9,7,0
7.953,9,5,0
8.038,10,6,0
8.123,10,1,0
8.2,9,4,0
8.277,9,3,0
8.354,9,2,3
8.431,9,2,0
8.5,8,7,0
8.577,9,4,2
8.662,10,6,0
8.747,10,2,0
8.832,10,2,0
8.909,9,3,2
8.986,9,4,0
9.063,9,1,0
9.132,8,3,0
9.193,7,2,2
9.254,7,3,0
9.315,7,5,0
9.376,7,1,0
9.437,7,6,0
9.506,8,3,0
9.575,8,7,0
9.652,9,3,0
9.729,9,5,0
9.806,9,2,0
9.875,8,5,0
9.944,8,1,2
10.013,8,5,0
10.082,8,4,0
10.151,8,4,0
10.22,8,1,3
10.289,8,3,0
10.358,8,4,2
10.435,9,2,0
10.512,9,3,0
10.581,8,3,0
10.65,8,4,2
10.719,8,1,0
10.788,8,2,0
10.849,7,4,0
10.91,7,2,0
10.971,7,3,0
11.032,7,3,0
11.093,7,3,0
11.154,7,5,0
11.215,7,2,0
11.276,7,4,0
11.337,7,5,0
11.398,7,2,0
11.459,7,6,0
11.528,8,1,0
11.589,7,5,0
11.65,7,6,0
11.719,8,3,2
11.796,9,6,0
11.881,10,4,0
11.966,10,3,0
12.043,9,3,0
12.12,9,3,2
12.197,9,5,0
12.274,9,6,0
12.359,10,2,0
12.436,9,2,0
12.505,8,0,2
12.566,7,5,0
12.627,7,2,0
12.688,7,2,0
12.749,7,5,0
12.81,7,3,0
12.871,7,4,0
12.932,7,7,0
13.001,8,4,0
13.078,9,4,2
13.155,9,4,0
13.232,9,3,0
13.309,9,5,0
13.386,9,3,0
13.463,9,3,0
13.54,9,4,0
13.617,9,4,0
13.694,9,5,0
13.771,9,6,0
13.848,9,3,0
13.925,9,4,0
14.002,9,3,0
14.079,9,3,0
14.148,8,2,2
14.217,8,2,0
14.286,8,5,0
14.355,8,2,0
14.424,8,7,0
14.493,8,5,2
14.57,9,5,0
14.655,10,3,0
14.74,10,3,0
14.817,9,2,0
14.886,8,2,0
14.947,7,4,0
