node_id,time_ms,slot_idx,delivered
4,798,6,True
4,1080,11,True
5,1234,4,True
4,1282,10,True
5,1319,3,True
4,1388,1,True
5,1404,3,True
7,1412,4,True
0,1473,2,True
9,1481,3,True
8,1481,3,True
3,1489,4,True
1,1505,6,True
5,1534,1,True
3,1534,1,True
4,1542,2,True
9,1558,4,True
2,1558,4,True
7,1566,5,True
10,1587,0,True
3,1587,0,True
1,1603,2,True
7,1603,2,True
4,1611,3,True
4,1656,1,True
10,1664,2,True
1,1680,4,True
7,1680,4,True
11,1688,5,True
10,1709,0,True
11,1709,0,True
7,1757,6,True
3,1757,6,True
0,1765,7,True
4,1765,7,True
6,1765,7,True
2,1765,7,True
8,1794,2,True
3,1826,6,True
11,1834,7,True
0,1842,8,True
2,1842,8,True
7,1855,0,True
3,1903,6,True
6,1956,2,True
3,1980,5,True
8,2049,4,True
3,2049,4,True
5,2049,4,True
5,2086,0,True
3,2134,6,True
4,2134,6,True
7,2134,6,True
8,2155,0,True
7,2187,4,True
6,2187,4,True
5,2232,1,True
4,2248,3,True
7,2293,0,True
9,2301,1,True
3,2301,1,True
4,2378,3,True
6,2386,4,True
11,2423,1,True
9,2431,2,True
1,2439,3,True
6,2439,3,True
4,2447,4,True
10,2463,6,True
7,2484,1,True
3,2484,1,True
5,2500,3,True
10,2508,4,True
2,2516,5,True
0,2524,6,True
0,2561,3,True
1,2569,4,True
5,2569,4,True
3,2569,4,True
11,2577,5,True
7,2593,7,True
10,2622,2,True
1,2646,5,True
7,2654,6,True
0,2662,7,True
5,2683,0,True
11,2699,2,True
3,2776,2,True
2,2784,3,True
9,2792,4,True
7,2800,5,True
5,2824,8,True
4,2824,8,True
8,2824,8,True
8,2845,1,True
9,2877,5,True
7,2901,8,True
4,2930,2,True
2,2930,2,True
5,2970,7,True
7,2978,8,True
3,2978,8,True
4,2999,1,True
7,3015,3,True
3,3023,4,True
4,3116,6,True
3,3145,0,True
4,3193,6,True
6,3201,7,True
6,3238,3,True
3,3238,3,True
4,3238,3,True
5,3254,5,True
5,3275,0,True
6,3283,1,True
4,3291,2,True
1,3315,5,True
10,3323,6,True
0,3324,6,True
0,3345,1,True
1,3352,2,True
4,3392,7,True
11,3405,0,True
10,3445,5,True
8,3453,6,True
5,3461,7,True
7,3474,0,True
10,3490,2,True
8,3490,2,True
2,3495,2,True
11,3506,4,True
5,3522,6,True
3,3543,0,True
7,3559,2,True
9,3575,4,True
11,3620,0,True
4,3628,1,True
3,3652,4,True
2,3697,0,True
